,CO2A,CO2B,CO2C,CO2D,CO2E,CO2Ext,CO2F,CO2G,CO2I,CO2J,CO2K,CO2L,DateTime,RHA,RHB,RHC,RHD,RHE,RHExt2,RHF,RHG,RHI,RHJ,RHK,RHL,TempA,TempB,TempC,TempD,TempE,TempExt2,TempF,TempG,TempI,TempJ,TempK,TempL,TempExt3,RHExt3,CO2Ext2,TempM,RHM,CO2M,TempN,RHN,CO2N,RawCO2A,RawCO2B,RawCO2C,RawCO2D,RawCO2E,RawCO2F,RawCO2G,RawCO2I,RawCO2J,RawCO2K,RawCO2L,TempExt,WindParallel,WindNormal,WindSp
20526,-3.076639778642232,-6.580384301026356,-11.943860040878064,3.5323922955866465,-5.900748315331384,,-1.7039155326335162,0.5819558106411478,,,,,2018-12-05 00:05:00,38.2,36.4,42.0,40.3,39.8,,38.2,35.3,,,,,23.6,23.9,21.7,23.5,23.0,,24.6,25.8,,,,,14.577,51.44,414.0,,,,,,,486.0,497.0,474.0,464.0,453.0,433.0,482.0,,,,,4.6,0.4989226960170541,-0.5282679915397243,0.7908902691511387
20527,-6.5790644714819,-7.082808275395963,-15.446574851937669,2.030108351036404,-12.403090599652385,,-9.206226060576796,-8.92050803881807,,,,,2018-12-05 00:10:00,38.2,36.1,42.0,40.3,39.8,,38.1,35.2,,,,,23.7,23.9,21.8,23.6,23.1,,24.6,25.9,,,,,14.529000000000002,51.489,405.0,,,,,,,482.0,496.0,470.0,462.0,446.0,425.0,472.0,,,,,4.6,0.16870434234412307,-0.6967749001043267,0.8447204968944101
20528,-9.081489164321567,-9.585232249765511,-6.949289662997272,6.527824406486218,-6.905432883973447,,-10.708536588520133,-22.422971888277345,,,,,2018-12-05 00:15:00,38.3,36.2,42.1,40.3,39.8,,38.2,35.2,,,,,23.6,23.9,21.8,23.6,23.0,,24.6,25.8,,,,,14.505,51.562,411.0,,,,,,,480.0,494.0,479.0,467.0,452.0,424.0,459.0,,,,,4.6,0.3672782509193941,-0.4774935191335802,0.7743271221532092
20529,-10.66724719049455,-12.170989557468431,-12.535337807390249,-5.057792871397282,-16.491108501627764,,-12.294180449796727,-18.008769071069878,,,,,2018-12-05 00:20:00,38.3,36.4,42.1,40.3,39.7,,38.2,35.2,,,,,23.6,23.9,21.8,23.6,23.0,,24.6,25.8,,,,,14.481,51.636,412.0,,,,,,,479.0,492.0,474.0,456.0,443.0,423.0,464.0,,,,,4.5,0.5121374745341656,-0.5971048068209415,0.8033126293995859
20530,-5.253005216667533,-15.756746865171294,-12.121385951783168,-8.64341014928084,-17.07678411928208,,-27.879824311073374,-10.594566253862467,,,,,2018-12-05 00:25:00,38.4,36.2,42.1,40.4,39.8,,38.2,35.2,,,,,23.6,23.9,21.7,23.6,23.0,,24.6,25.8,,,,,14.433,51.758,418.0,,,,,,,486.0,490.0,476.0,454.0,444.0,409.0,473.0,,,,,4.4,0.3018089827371262,-0.6153358556187369,0.7080745341614907
20531,-6.838763242840572,-20.342504172874268,-9.707434096176145,1.7709725728356034,-8.662459736936514,,-17.465468172350086,-18.180363436655114,,,,,2018-12-05 00:30:00,38.2,36.2,42.2,40.4,39.8,,38.2,35.2,,,,,23.6,23.9,21.7,23.6,23.0,,24.6,25.8,,,,,14.409,51.88,414.0,,,,,,,485.0,486.0,479.0,465.0,453.0,420.0,466.0,,,,,4.4,0.7381959673341063,-0.5170455586132807,1.0062111801242242
20532,-16.757854602346868,-17.26159481391045,-16.626815573902377,-1.1479780383812113,-19.581468687924144,,-20.384445366959998,-18.09949395278096,,,,,2018-12-05 00:35:00,38.2,36.3,42.1,40.4,39.8,,38.1,35.2,,,,,23.6,23.9,21.7,23.5,23.0,,24.6,25.8,,,,,14.385,51.953,404.0,,,,,,,476.0,490.0,473.0,463.0,443.0,418.0,467.0,,,,,4.4,0.4145267203897433,-0.833172710862877,0.9772256728778472
20533,-9.926945961853221,-26.430685454946737,-16.796197051628667,-2.31692864959814,-16.750477638911892,,-24.553422561570017,-25.26862446890692,,,,,2018-12-05 00:40:00,38.3,36.3,42.2,40.4,39.7,,38.2,35.2,,,,,23.6,23.9,21.7,23.5,23.0,,24.5,25.8,,,,,14.361,52.026,415.0,,,,,,,484.0,482.0,474.0,463.0,447.0,415.0,461.0,,,,,4.4,0.4391470154969632,-0.13153712863239528,0.5672877846790889
20534,-11.512703988026205,-23.01644276264966,-19.382245196021586,-11.902545927481642,-10.336153256566208,,-23.139066422846607,-25.854421651699447,,,,,2018-12-05 00:45:00,38.2,36.5,42.2,40.5,39.8,,38.2,35.2,,,,,23.6,23.9,21.7,23.5,23.0,,24.5,25.8,,,,,14.337,52.002,398.0,,,,,,,483.0,486.0,472.0,454.0,454.0,417.0,461.0,,,,,4.4,0.3702202238728979,-0.5310585693391314,0.7246376811594203
20535,-18.76512868086587,-6.268866737019208,-21.634960007081247,-0.15482987203182574,-18.588495540887266,,-23.391376950789947,-28.10688550115873,,,,,2018-12-05 00:50:00,38.3,36.4,42.1,40.4,39.8,,38.2,35.3,,,,,23.6,23.9,21.7,23.6,23.0,,24.6,25.8,,,,,14.29,52.002,410.0,,,,,,,477.0,504.0,471.0,467.0,447.0,418.0,460.0,,,,,4.4,0.5955036371685369,-0.6344880713690753,0.8861283643892337
20536,-12.85088670703891,-22.354624044722186,-23.721008151474226,-7.240447149915383,-21.67417115854164,,-22.47702081206665,-22.192682683951322,,,,,2018-12-05 00:55:00,38.3,36.2,42.3,40.4,39.8,,38.2,35.3,,,,,23.6,23.9,21.7,23.5,23.0,,24.5,25.7,,,,,14.265999999999998,52.051,382.0,,,,,,,482.0,487.0,468.0,459.0,443.0,418.0,465.0,,,,,4.4,0.480649823085823,-0.18823626846238825,0.5672877846790889
20537,-14.269978066545207,-29.773714685758424,-10.140389629200458,-10.659397761132253,-25.093180109529328,,-22.895998006676564,-23.61181320007723,,,,,2018-12-05 01:00:00,38.3,36.2,42.2,40.4,39.8,,38.2,35.2,,,,,23.6,23.8,21.7,23.5,23.0,,24.6,25.8,,,,,14.218,52.1,402.0,,,,,,,481.0,480.0,482.0,456.0,440.0,418.0,464.0,,,,,4.4,0.4709177667235923,-0.2929866534077495,0.6045548654244308
20538,-17.605736092718246,-19.10947199346134,-19.47643777359343,-0.9950150390158116,-28.428855727183706,,-25.23164186795327,-22.947610382869872,,,,,2018-12-05 01:05:00,38.3,36.2,42.2,40.4,39.8,,38.2,35.2,,,,,23.6,23.9,21.7,23.5,23.0,,24.5,25.8,,,,,14.194,52.173,394.0,,,,,,,476.0,489.0,471.0,464.0,435.0,414.0,463.0,,,,,4.4,0.3554735894584081,-0.37752992423221415,0.5879917184265011
20539,-15.191494118891228,-12.69522930116426,-16.06248591798635,-10.580632316899313,-19.01453134483802,,-20.817285729229862,-31.533407565662397,,,,,2018-12-05 01:10:00,38.3,36.2,42.2,40.5,39.7,,38.2,35.3,,,,,23.6,23.8,21.6,23.5,23.0,,24.5,25.7,,,,,14.17,52.222,388.0,,,,,,,477.0,494.0,473.0,453.0,443.0,417.0,453.0,,,,,4.4,0.5175195610070482,-0.3975906246643717,0.6832298136645962
20540,-9.77725214506421,-20.28098660886718,-26.64853406237927,0.8337504052171312,-23.600206962492393,,-21.40292959050652,-24.11920474845499,,,,,2018-12-05 01:15:00,38.4,36.4,42.2,40.4,39.7,,38.2,35.3,,,,,23.6,23.9,21.7,23.5,23.0,,24.5,25.8,,,,,14.122,52.295,382.0,,,,,,,480.0,484.0,460.0,462.0,436.0,414.0,458.0,,,,,4.4,0.5214323893745659,-0.5465328072658953,0.7743271221532092
20541,-11.11301017123725,-9.6167439165701,-20.984582206772245,-6.501866872666426,-11.935882580146826,,-10.738573451783225,-16.45500193124758,,,,,2018-12-05 01:20:00,38.4,36.2,42.3,40.4,39.8,,38.2,35.3,,,,,23.6,23.9,21.7,23.5,23.0,,24.5,25.7,,,,,14.098,52.368,380.0,,,,,,,476.0,492.0,463.0,452.0,445.0,422.0,463.0,,,,,4.4,0.3997226473986808,-0.4238938427056234,0.6625258799171841
20542,0.134565135923026,-13.369167890939707,-20.737297017831853,6.745849182783388,-5.688224864467827,,-10.490883979726505,-21.20746578070685,,,,,2018-12-05 01:25:00,38.3,36.3,42.3,40.4,39.8,,38.2,35.3,,,,,23.6,23.8,21.7,23.5,23.0,,24.5,25.8,,,,,14.074000000000002,52.393,379.0,,,,,,,484.0,485.0,460.0,462.0,448.0,419.0,455.0,,,,,4.4,0.5976997119691918,-0.557148067838782,0.9316770186335406
20543,-3.3678595569166423,-6.871591865309313,0.7599881711085459,-0.7564347617668545,-9.19056714878883,,-1.9931945076698407,-18.709929630166076,,,,,2018-12-05 01:30:00,38.4,36.4,42.2,40.4,39.8,,38.2,35.3,,,,,23.6,23.8,21.7,23.5,23.1,,24.6,25.8,,,,,14.026,52.49,372.0,,,,,,,477.0,488.0,478.0,451.0,441.0,424.0,454.0,,,,,4.4,0.5186233353125509,-0.3503476994504738,0.6501035196687368
20544,4.7130490835770615,-6.79068250634549,-3.159393306617688,10.324614627016329,-9.109576099776517,,-2.9121717022797498,-6.629060146291978,,,,,2018-12-05 01:35:00,38.4,36.5,42.4,40.4,39.8,,38.2,35.3,,,,,23.6,23.8,21.6,23.5,23.0,,24.5,25.8,,,,,14.002,52.539,379.0,,,,,,,483.0,486.0,472.0,460.0,439.0,421.0,464.0,,,,,4.4,0.5917213269800641,-0.09608781771181804,0.6832298136645962
20545,10.377291057404024,-7.126439814048468,-4.495441451010663,-2.0110026508672263,-1.4452517174308923,,-15.247815563556456,-10.964857329084623,,,,,2018-12-05 01:40:00,38.3,36.4,42.2,40.4,39.7,,38.2,35.4,,,,,23.6,23.8,21.7,23.5,23.0,,24.5,25.7,,,,,13.954,52.563,383.0,,,,,,,486.0,483.0,468.0,445.0,444.0,406.0,457.0,,,,,4.4,0.4137063685522886,-0.2259305725447792,0.6335403726708075
